jUCf,FpPMUiwXLDA,"[2, 7, 437, 1155]",
8fzE,BSB1rCab8os,"[15, 18, 67, 140, 699]",
EQzE,0xa2If-BbAw,"[2, 7, 224, 373, 566]",
A0zE,,"[11, 20, 22, 29, 32, 122, 653, 1402]",
9NzE,h030H9ht70s,"[0, 79, 91]",
QNzE,h2hnRQjwZ7w,"[0, 1, 35, 2465, 3296]","[{'text': 'I love me some parkour big-time', 'start': 0.06, 'duration': 5.25}, {'text': 'seriously parkour is one of the greatest', 'start': 2.34, 'duration': 6.27}, {'text': 'things in Disney infinity oh snap', 'start': 5.31, 'duration': 7.56}, {'text': 'snuggie oh we did it we made it oh man', 'start': 8.61, 'duration': 6.98}, {'text': 'we got knocked around there pretty good', 'start': 12.87, 'duration': 9.21}, {'text': 'huh we got this oh snap that was crazy', 'start': 15.59, 'duration': 8.849}, {'text': 'cool', 'start': 22.08, 'duration': 2.359}, {'text': 'hey hey everybody is catering failing', 'start': 35.45, 'duration': 3.52}, {'text': ""game we're back at you with another"", 'start': 38.07, 'duration': 3.3}, {'text': 'Disney infinity 2.0 toy box we are doing', 'start': 38.97, 'duration': 4.89}, {'text': 'ultimate parkour by M one zero two six', 'start': 41.37, 'duration': 4.53}, {'text': 'three four eight every jump as possible', 'start': 43.86, 'duration': 4.08}, {'text': ""good luck E and enjoy let's go ahead and"", 'start': 45.9, 'duration': 3.9}, {'text': ""have a little bit of fun we're gonna get"", 'start': 47.94, 'duration': 4.08}, {'text': ""out of everything right here boom I'm"", 'start': 49.8, 'duration': 4.59}, {'text': 'doing this one with mr. iron fist and', 'start': 52.02, 'duration': 4.23}, {'text': ""I'll show you exactly why I'm doing that"", 'start': 54.39, 'duration': 3.989}, {'text': ""in just a little bit here's actually one"", 'start': 56.25, 'duration': 5.43}, {'text': 'of my favourite parkour Disney infinity', 'start': 58.379, 'duration': 6.001}, {'text': 'characters in the game he is really', 'start': 61.68, 'duration': 5.48}, {'text': 'really awesome I would suggest doing', 'start': 64.38, 'duration': 5.78}, {'text': 'parkour with this guy right here', 'start': 67.16, 'duration': 6.19}, {'text': ""especially if there's really really long"", 'start': 70.16, 'duration': 7.23}, {'text': 'fire jumps if you never have watched my', 'start': 73.35, 'duration': 8.129}, {'text': ""trial of ninjas video you'll see exactly"", 'start': 77.39, 'duration': 6.27}, {'text': 'why in that video', 'start': 81.479, 'duration': 5.401}, {'text': 'why Iron Fist had quickly became my', 'start': 83.66, 'duration': 6.61}, {'text': 'favorite parkour artist and Disney', 'start': 86.88, 'duration': 3.9}, {'text': 'infinity', 'start': 90.27, 'duration': 4.91}, {'text': 'he is just great he does a good job', 'start': 90.78, 'duration': 7.05}, {'text': 'navigating all corners his super jump is', 'start': 95.18, 'duration': 5.32}, {'text': 'great and he also has something that', 'start': 97.83, 'duration': 4.92}, {'text': ""I'll show you towards the end that just"", 'start': 100.5, 'duration': 5.4}, {'text': ""makes him a wonderful platformer let's"", 'start': 102.75, 'duration': 3.689}, {'text': 'do this thing', 'start': 105.9, 'duration': 3.69}, {'text': 'oh man so one of our Disney infinity', 'start': 106.439, 'duration': 7.081}, {'text': 'fans Jon be subscribe', 'start': 109.59, 'duration': 7.5}, {'text': 'just AddThis toy box to us and we tried', 'start': 113.52, 'duration': 5.279}, {'text': 'it out just a little bit to see what it', 'start': 117.09, 'duration': 4.08}, {'text': 'was like and man this one is a lot of', 'start': 118.799, 'duration': 7.86}, {'text': 'fun woo oh that was close', 'start': 121.17, 'duration': 10.02}, {'text': 'that was really close no no oh we were', 'start': 126.659, 'duration': 6.901}, {'text': ""right at the check point it didn't give"", 'start': 131.19, 'duration': 5.46}, {'text': 'it to us that is just terrible come on', 'start': 133.56, 'duration': 5.64}, {'text': 'boom we got this', 'start': 136.65, 'duration': 5.61}, {'text': 'how did that happen that was that was', 'start': 139.2, 'duration': 8.84}, {'text': 'terrible come on boom Oh', 'start': 142.26, 'duration': 5.78}, {'text': 'you got this up and bow-chicka-wow-wow', 'start': 150.319, 'duration': 5.901}, {'text': 'wait a little bit for the jump this time', 'start': 156.879, 'duration': 3.901}, {'text': 'gotcha', 'start': 162.849, 'duration': 4.871}, {'text': 'hello I love me some parkour big-time', 'start': 164.209, 'duration': 6.481}, {'text': 'seriously parkour is one of the greatest', 'start': 167.72, 'duration': 6.269}, {'text': 'things in Disney infinity oh snap', 'start': 170.69, 'duration': 7.56}, {'text': 'snuggie oh we did it we made it oh man', 'start': 173.989, 'duration': 6.981}, {'text': 'we got knocked around there pretty good', 'start': 178.25, 'duration': 5.34}, {'text': 'huh we got this', 'start': 180.97, 'duration': 8.53}, {'text': 'oh snap that was crazy cool the end is', 'start': 183.59, 'duration': 7.739}, {'text': 'right around in our sight to my friends', 'start': 189.5, 'duration': 6.0}, {'text': 'boom boom boom', 'start': 191.329, 'duration': 7.05}, {'text': ""whoo now it's closed that was really"", 'start': 195.5, 'duration': 3.42}, {'text': 'close', 'start': 198.379, 'duration': 3.061}, {'text': 'spiky jumps treadmill jumps whatever you', 'start': 198.92, 'duration': 5.719}, {'text': 'want to call them oh and right there', 'start': 201.44, 'duration': 9.81}, {'text': 'hello oh we got to sing the end my', 'start': 204.639, 'duration': 8.561}, {'text': 'friends if you wonder why we have the', 'start': 211.25, 'duration': 4.56}, {'text': 'jetpack on well I like to check out the', 'start': 213.2, 'duration': 4.379}, {'text': 'toy boxes just a little bit before I', 'start': 215.81, 'duration': 4.19}, {'text': 'start them and to see what it looks like', 'start': 217.579, 'duration': 6.03}, {'text': 'cuz a lot of the times in the Disney', 'start': 220.0, 'duration': 6.299}, {'text': 'infinity toy boxes sometimes well', 'start': 223.609, 'duration': 4.981}, {'text': ""sometimes now it's not all the time"", 'start': 226.299, 'duration': 4.451}, {'text': ""anymore you get a toy box that you don't"", 'start': 228.59, 'duration': 5.399}, {'text': 'really really like and I like to check', 'start': 230.75, 'duration': 5.31}, {'text': 'it out to make sure that everything is', 'start': 233.989, 'duration': 5.041}, {'text': 'working like it should and this one was', 'start': 236.06, 'duration': 4.59}, {'text': 'really really great I was able to kind', 'start': 239.03, 'duration': 3.72}, {'text': 'of get a nice high angle right from the', 'start': 240.65, 'duration': 3.69}, {'text': 'start to check out everything in the toy', 'start': 242.75, 'duration': 3.78}, {'text': 'box and this thing is just wonderful', 'start': 244.34, 'duration': 5.579}, {'text': 'thanks for the suggestion John B this', 'start': 246.53, 'duration': 6.15}, {'text': 'one is a lot of fun if you guys want', 'start': 249.919, 'duration': 4.261}, {'text': 'more twenty boxes make sure that you', 'start': 252.68, 'duration': 3.029}, {'text': 'slap that like button and leave a', 'start': 254.18, 'duration': 3.359}, {'text': 'comment down below and this is something', 'start': 255.709, 'duration': 3.99}, {'text': ""else new that I'm going to be doing make"", 'start': 257.539, 'duration': 3.69}, {'text': ""sure that you're leaving comments on our"", 'start': 259.699, 'duration': 3.78}, {'text': ""toy boxes if there's a toy box that we"", 'start': 261.229, 'duration': 4.831}, {'text': ""have not done yet as long as it's really"", 'start': 263.479, 'duration': 4.951}, {'text': ""cool and everything is working we'll try"", 'start': 266.06, 'duration': 4.859}, {'text': 'to feature it on the channel and make', 'start': 268.43, 'duration': 3.51}, {'text': ""sure that you're leaving a comment and"", 'start': 270.919, 'duration': 3.211}, {'text': 'letting us know what toy box that is if', 'start': 271.94, 'duration': 3.87}, {'text': ""you think it's really cool and let us"", 'start': 274.13, 'duration': 5.339}, {'text': ""know why that's what I want to see why"", 'start': 275.81, 'duration': 5.49}, {'text': 'is that toy box really cool and what -', 'start': 279.469, 'duration': 1.991}, {'text': 'one', 'start': 281.3, 'duration': 2.26}, {'text': ""box is it and we'll check it out and"", 'start': 281.46, 'duration': 3.87}, {'text': 'hopefully feature it on the channel and', 'start': 283.56, 'duration': 3.75}, {'text': ""we'll give you a shout out as well as"", 'start': 285.33, 'duration': 5.16}, {'text': 'always thanks for watching peace out and', 'start': 287.31, 'duration': 5.699}, {'text': ""but there's oh oh oh wait hold on hold"", 'start': 290.49, 'duration': 2.85}, {'text': 'on', 'start': 293.009, 'duration': 2.851}, {'text': ""I almost forgot I'm in a wide-open area"", 'start': 293.34, 'duration': 7.079}, {'text': 'right here so this is why iron fist is', 'start': 295.86, 'duration': 7.94}, {'text': 'one of the best parkour characters in', 'start': 300.419, 'duration': 6.541}, {'text': 'trials of ninjas this is what he can do', 'start': 303.8, 'duration': 5.709}, {'text': 'look if you jump up into the air and you', 'start': 306.96, 'duration': 5.579}, {'text': ""press it I'm playing on a ps4 if you"", 'start': 309.509, 'duration': 5.94}, {'text': 'jump up in the air and you press r2 he', 'start': 312.539, 'duration': 5.431}, {'text': 'does this iron fist jump and he walks a', 'start': 315.449, 'duration': 4.041}, {'text': 'little bit and you can keep on going', 'start': 317.97, 'duration': 4.199}, {'text': ""boom look at that it's just like almost"", 'start': 319.49, 'duration': 5.049}, {'text': 'infinite especially if you keep it up', 'start': 322.169, 'duration': 5.611}, {'text': ""and keep it going boom and you'll keep"", 'start': 324.539, 'duration': 6.391}, {'text': ""on going just like that that's just"", 'start': 327.78, 'duration': 5.609}, {'text': 'crazy is walking in space what other', 'start': 330.93, 'duration': 5.729}, {'text': 'Disney infinity 2.0 order character like', 'start': 333.389, 'duration': 6.27}, {'text': 'that can do a move like this and just', 'start': 336.659, 'duration': 5.341}, {'text': ""make it so far it's just wonderful it's"", 'start': 339.659, 'duration': 4.591}, {'text': 'one of the most coolest platforming', 'start': 342.0, 'duration': 4.11}, {'text': ""things ever if you're the toy box"", 'start': 344.25, 'duration': 5.25}, {'text': 'creator of this one keep this in mind', 'start': 346.11, 'duration': 4.41}, {'text': 'with iron fist', 'start': 349.5, 'duration': 2.99}, {'text': 'maybe you can make something that was', 'start': 350.52, 'duration': 5.7}, {'text': 'just as hard as what trials of a ninja', 'start': 352.49, 'duration': 6.459}, {'text': 'was because that one was really really', 'start': 356.22, 'duration': 5.91}, {'text': 'tough this one was fun as well I like', 'start': 358.949, 'duration': 6.331}, {'text': 'parkour toy boxes I definitely like a', 'start': 362.13, 'duration': 5.879}, {'text': 'challenge and this is the character to', 'start': 365.28, 'duration': 8.359}, {'text': 'definitely give a challenge - peace out', 'start': 368.009, 'duration': 5.63}]"
ULzE,iXLriPx8eoQ,[14],
aAzE,iZMwSQoyZr0,"[2, 45, 77]",
jlzE,ZXnlbqLrHfw,"[0, 226]",
mezE,ZdXnpJ-pq00,"[0, 1, 5, 69, 144, 190, 384, 925]",
GkzE,Zl41A5wuJ_s,"[6, 8]",
RyzE,5_-02mtAUNw,"[8, 71]","[{'text': ""We're pretty sure over the last 29 or so years,\nthat, we're really... we appreciate the fact"", 'start': 6.14, 'duration': 3.23}, {'text': ""that you didn't throw in the towel."", 'start': 9.37, 'duration': 1.23}, {'text': 'And allow us to be the first to say Congratulations.', 'start': 10.6, 'duration': 20.04}, {'text': 'Congratulations.', 'start': 30.64, 'duration': 2.47}, {'text': ""They're not your problem any more."", 'start': 33.11, 'duration': 14.85}, {'text': ""For those of you who don't know me and now\na lot of you do because I'm really shy, um"", 'start': 47.96, 'duration': 33.299}, {'text': ""I'm Jackie and I'm one of Lauren's oldest\nfriends and maid of honor."", 'start': 81.259, 'duration': 17.171}, {'text': ""She's old and married."", 'start': 98.43, 'duration': 5.289}, {'text': ""She's older."", 'start': 103.719, 'duration': 2.641}, {'text': ""The beautiful bride and I have been friends\nsince we were in the womb and she's been stuck"", 'start': 106.36, 'duration': 35.349}, {'text': 'with me ever since.', 'start': 141.709, 'duration': 3.711}, {'text': 'It has been a truly magical 29 years.', 'start': 145.42, 'duration': 22.86}, {'text': ""Lauren, you're welcome."", 'start': 168.28, 'duration': 14.91}, {'text': 'Lauren and I both have a very special friendship\nin a lot of ways.', 'start': 183.19, 'duration': 19.25}, {'text': ""We've always supported each other."", 'start': 202.44, 'duration': 1.0}, {'text': ""I actually trusted Lauren so much that at\none point she convinced that Benedict Arnold's"", 'start': 203.44, 'duration': 3.82}, {'text': 'name was actually Benjamin Arnold, to the\npoint where I defended her to other people.', 'start': 207.26, 'duration': 3.57}, {'text': ""We're not history majors."", 'start': 210.83, 'duration': 1.9}, {'text': 'She is quite convincing Kevin, be careful.', 'start': 212.73, 'duration': 3.319}, {'text': ""We've had a lot of fun together and she's\nalways been there for me."", 'start': 216.049, 'duration': 1.52}, {'text': 'We have come to know one another so well,\nthat we have an understanding that goes way', 'start': 217.569, 'duration': 7.401}, {'text': 'beyond words.', 'start': 224.97, 'duration': 1.0}, {'text': ""We don't judge, at least not each other, no\noffense."", 'start': 225.97, 'duration': 1.61}, {'text': ""And she's probably one of the only people\nin my life that truly give me the bluntly"", 'start': 227.58, 'duration': 5.04}, {'text': 'honest truth to the point that I appreciate\nher input.', 'start': 232.62, 'duration': 1.0}, {'text': ""For a long time I've heard about this wonderful\namazing man, Kevin."", 'start': 233.62, 'duration': 7.14}, {'text': 'However, it took so long to meet him that\ni actually questioned his existence in general.', 'start': 240.76, 'duration': 7.46}, {'text': 'Especially, when she got her car named Elvis,\nwhich we all know a little too much about.', 'start': 248.22, 'duration': 7.9}, {'text': ""So I was like maybe Elvis is Kevin, I don't\nknow."", 'start': 256.12, 'duration': 1.26}, {'text': ""Then I was finally graced with Kevin's presence\nand I understood their relationship."", 'start': 257.38, 'duration': 1.5}, {'text': 'They were not only in love, but they were\nfriends.', 'start': 258.88, 'duration': 1.0}, {'text': 'It is truly an amazing relationship, not only\nbecause of the love and friendship, but Kevin', 'start': 259.88, 'duration': 3.8}, {'text': 'too pretends to love Elvis.', 'start': 263.68, 'duration': 3.75}, {'text': 'Kevin and Lauren, as your lives progress there\nwill be bigger changes that you will handle', 'start': 267.43, 'duration': 6.37}, {'text': 'as a team.', 'start': 273.8, 'duration': 1.26}, {'text': ""You both enjoy eachother's company, and you\ncomplement one another."", 'start': 275.06, 'duration': 7.97}, {'text': 'This shows you both have a foundation for\na wonderful marriage.', 'start': 283.03, 'duration': 1.45}, {'text': 'You two are a perfect couple and you truly\ndeserve each other.', 'start': 284.48, 'duration': 1.59}, {'text': 'I know you will have a long and happy life\ntogether.', 'start': 286.07, 'duration': 1.46}, {'text': ""So I'd like to offer a toast to my amazing\nfriend Lauren and her new husband Kevin."", 'start': 287.53, 'duration': 4.02}, {'text': 'So, back to me, my heart is like straight\nup beating out of my chest.', 'start': 291.55, 'duration': 4.63}, {'text': ""So, for those of you who don't know me, my\nname is Meagan Audette and I Lauren's matron,"", 'start': 296.18, 'duration': 4.05}, {'text': 'yes taken, of honor.', 'start': 300.23, 'duration': 1.0}, {'text': 'Um, So, Someone, and I believe that person\nwas Lauren, once told me the best way to start', 'start': 301.23, 'duration': 3.96}, {'text': 'begin a speech was to start with a definition.', 'start': 305.19, 'duration': 4.44}, {'text': 'And we were talking on Gchat about this day\nand after doing a little research I found', 'start': 309.63, 'duration': 23.75}, {'text': 'out that the definition of MATRON was a ""female\nprison guard"".', 'start': 333.38, 'duration': 1.53}, {'text': ""So that's going to tie into anything of what\ni have to say, but I hope it grabbed your"", 'start': 334.91, 'duration': 1.0}, {'text': 'attention.', 'start': 335.91, 'duration': 1.0}, {'text': 'That was like the hook.', 'start': 336.91, 'duration': 1.0}, {'text': ""Lauren and I met roughly 19 years ago, I did\nthe math on that, I don't exactly know when"", 'start': 337.91, 'duration': 6.84}, {'text': 'we met - but sometime between now and then,\nwe decided we were Besties...', 'start': 344.75, 'duration': 4.871}, {'text': ""Together we have shared ups and downs, first\nloves, first heartbreaks, and true love, that's"", 'start': 349.621, 'duration': 1.0}, {'text': 'you, both of you.', 'start': 350.621, 'duration': 1.0}, {'text': ""We've sang our hearts out until we lost our\nvoices, and danced until we've been asked"", 'start': 351.621, 'duration': 1.0}, {'text': ""to physically remove ourselves from the premises\nI've seen it."", 'start': 352.621, 'duration': 1.0}, {'text': 'More than once.', 'start': 353.621, 'duration': 1.0}, {'text': ""We've cried until we didn't have any tears\nyet and we've laughed until it felt like we'd"", 'start': 354.621, 'duration': 1.0}, {'text': 'actually completed that Extreme BodyBlast\nAbs class.', 'start': 355.621, 'duration': 1.0}, {'text': ""Lauren only you know what i'm talking about."", 'start': 356.621, 'duration': 1.839}, {'text': ""We've shared countless memories and inside\njokes."", 'start': 358.46, 'duration': 8.14}, {'text': ""One of our favorite jokes to take the other's\nphone and call someone in their phone book"", 'start': 366.6, 'duration': 17.45}, {'text': '(the more random the better), and then when\nthe phone started ringing we would hand the', 'start': 384.05, 'duration': 1.0}, {'text': ""phone back to it's rightful owner."", 'start': 385.05, 'duration': 1.0}, {'text': ""And the rules were that we'd have to ask that\nperson if they wanted to hang out."", 'start': 386.05, 'duration': 1.0}, {'text': 'Usually we were doing something like swimming\nor doing something totally inappropriate.', 'start': 387.05, 'duration': 1.0}, {'text': ""We'd do this back and forth and think we were\nhilarious."", 'start': 388.05, 'duration': 9.58}, {'text': ""After many of our UNvitations were accepted,\nwe'd stop doing it."", 'start': 397.63, 'duration': 6.28}, {'text': ""So, really ya know, Lauren has been my most\ntrusted adviser and therapist, with whom I've"", 'start': 403.91, 'duration': 4.57}, {'text': 'shared some of the best, WORST advice of all\ntime.', 'start': 408.48, 'duration': 1.93}, {'text': 'So yea, here ya go girl....', 'start': 410.41, 'duration': 1.0}, {'text': 'That Chinese symbol is SO awesome, you should\nget it tattooed to your back.', 'start': 411.41, 'duration': 1.0}, {'text': ""You're hair, looks so great in corn rows,\nyou should wear it just like that to prom."", 'start': 412.41, 'duration': 1.74}, {'text': ""You don't really know how weird your relationship\nis with someone, until you have to explain"", 'start': 414.15, 'duration': 5.88}, {'text': 'it to a giant group of people.', 'start': 420.03, 'duration': 1.34}, {'text': 'So, Kevin, No other man has ever been as tolerant\nof our relationship as you have, and Rick', 'start': 421.37, 'duration': 3.85}, {'text': 'too.', 'start': 425.22, 'duration': 1.0}, {'text': 'When I first met Kevin, I liked him instantly\n- and not just because we both have red hair,', 'start': 426.22, 'duration': 2.4}, {'text': 'get it....', 'start': 428.62, 'duration': 1.0}, {'text': 'But because I felt like he understood my Lauren,\nthat falls asleep 5 minutes into a move and', 'start': 429.62, 'duration': 8.97}, {'text': 'thinks she has every ailment that WebMD has\nto offer.', 'start': 438.59, 'duration': 1.24}, {'text': 'I could see right away that my best friend,\nhad found her VERY, best friend.', 'start': 439.83, 'duration': 1.85}, {'text': 'Even though they were far apart, there was\na closeness there, and an everydayness, that', 'start': 441.68, 'duration': 1.85}, {'text': 'refused to subside.', 'start': 443.53, 'duration': 1.0}, {'text': 'Distance is not for the fearful, it is for\nthe bold.', 'start': 444.53, 'duration': 1.0}, {'text': 'It is for those who are willing to spend a\nlot of time alone in return for a little time', 'start': 445.53, 'duration': 1.0}, {'text': 'with the one they love.', 'start': 446.53, 'duration': 1.0}, {'text': ""It's for those who know a good thing when\nthey see it, even though they don't see it"", 'start': 447.53, 'duration': 1.0}, {'text': 'nearly enough.', 'start': 448.53, 'duration': 1.0}, {'text': 'Lauren and Kevin thank you so much for this\namazing day. and for...', 'start': 449.53, 'duration': 1.0}, {'text': ""I can't tell you how thrilled I am for both\nof you, and I'm so honored to share this very"", 'start': 450.53, 'duration': 1.0}, {'text': 'special day with the two of you.', 'start': 451.53, 'duration': 1.0}, {'text': 'And for not only inviting me, but to actually\ngive me a title.', 'start': 452.53, 'duration': 1.0}, {'text': 'So if everyone would please raise their glasses.', 'start': 453.53, 'duration': 1.0}, {'text': 'To Mr. & Mrs. Kevin Charles Deger.', 'start': 454.53, 'duration': 1.0}, {'text': ""May this be the least happy day of the rest\nof your life and may you love with all you're"", 'start': 455.53, 'duration': 7.83}, {'text': 'hearts and never forget how good it feels\nto be alive and strive for your desires.', 'start': 463.36, 'duration': 9.739}]"
rmzE,Vlr5b4-p3dI,"[3, 6]","[{'text': '[Music]', 'start': 2.34, 'duration': 16.28}, {'text': '[Music]', 'start': 21.28, 'duration': 8.119}, {'text': '[Music]', 'start': 32.29, 'duration': 3.149}, {'text': '[Music]', 'start': 43.15, 'duration': 3.21}, {'text': '[Music]', 'start': 48.52, 'duration': 3.07}, {'text': '[Music]', 'start': 66.43, 'duration': 7.78}, {'text': '[Music]', 'start': 76.34, 'duration': 4.399}, {'text': '[Music]', 'start': 88.93, 'duration': 3.089}, {'text': '[Music]', 'start': 98.14, 'duration': 8.799}, {'text': '[Music]', 'start': 111.5, 'duration': 4.879}, {'text': '[Music]', 'start': 135.96, 'duration': 7.23}, {'text': '[Applause]', 'start': 139.38, 'duration': 3.81}, {'text': '[Music]', 'start': 143.25, 'duration': 5.949}, {'text': '[Music]', 'start': 151.32, 'duration': 5.869}, {'text': '[Music]', 'start': 169.92, 'duration': 3.1}, {'text': '[Music]', 'start': 175.14, 'duration': 3.1}, {'text': '[Music]', 'start': 194.92, 'duration': 14.71}, {'text': '[Applause]', 'start': 205.67, 'duration': 3.96}]"
otzE,rg4u7OBXBOs,[241],
WTzE,zzgnKGhKfPM,"[251, 270, 641, 646]",
ZFzE,Fj2KtYvgwQI,[731],
elzE,x9kFfKLWOeE,[52],
hzzE,J5pJt0oHKZ0,"[0, 12, 432, 689]",
rVzE,J5y4HMPm-9I,"[0, 12]",
ECzE,J7YJmPRwP6A,"[26, 130, 808]","[{'text': ""hey you guys it's alright standing"", 'start': 4.609, 'duration': 6.851}, {'text': 'another lego city a big calendar which', 'start': 7.919, 'duration': 10.231}, {'text': 'is on day 89 how sweet i was like date', 'start': 11.46, 'duration': 10.319}, {'text': ""and I was like what we're doing really"", 'start': 18.15, 'duration': 41.88}, {'text': 'nine we got a food cart read lots of', 'start': 21.779, 'duration': 42.53}, {'text': 'pieces maybe these are just exit visas', 'start': 60.03, 'duration': 4.279}, {'text': 'ok so those did', 'start': 64.46, 'duration': 15.0}, {'text': 'this piece looks like that but maybe', 'start': 72.02, 'duration': 17.059}, {'text': ""it's like this yeah this"", 'start': 79.46, 'duration': 9.619}, {'text': 'then put this one and depart in there', 'start': 109.15, 'duration': 11.71}, {'text': 'this is really cool at the bottom of the', 'start': 115.84, 'duration': 13.18}, {'text': 'bread okay this one is really cool um', 'start': 120.86, 'duration': 10.23}, {'text': ""but I think that's pretty much it thing"", 'start': 129.02, 'duration': 5.84}, {'text': ""it does we're watching and goodbye"", 'start': 131.09, 'duration': 3.77}]"
0YzE,QwoKo7qQPtU,[195],
CJzE,QwuT_7wZW2c,"[3, 4, 6, 38]",
tRzE,HD54jhBeQhs,"[9, 14]",
CPzE,ja-P9JRMlR8,"[2, 30, 55]",
BXzE,jhh2iSfiGQc,"[2, 30, 53, 58, 214, 495]",
IxzE,Sb_ADr6dn14,"[21, 23, 24, 73, 209, 786]",
ggzE,0sb8gVpRIkE,[12],
XJzE,-QL3lyYyJxE,"[6, 8]",
