ZJba,IRPF5YdtK7I,"[5, 16, 1027, 1903]",
K2lN,iqGx_GYxMhE,"[6, 8]",
TblN,5P58XXxbb0M,[3],
TXlN,3J77OhngJmU,"[2, 7, 26, 64, 149, 729]",
jxlN,3Z8FbLTVVN0,"[0, 1, 379, 735, 1998]",
aYlN,QUe-Wklqxco,[8],
4SlN,QVpWdQh5x3Y,"[0, 445]",
WOlN,,"[0, 27]",
FTlN,8yLEOwYjoio,"[2, 7, 208, 1134]",
jAlN,K6MOQDL1QPM,[148],
P3lN,H-2KHR0LS8M,[191],
8WlN,rSAFg7K4XmY,"[2, 7, 17, 19, 171, 198, 283, 457]",
WflN,R0Huuq15e60,"[2, 45, 51, 56, 77, 1516]",
07lN,RDGVo3wY79Q,"[0, 1, 153, 657]",
khlN,NiDDQRkD1gY,"[3, 4, 13, 41]",
vFlN,bBgrgqayziA,[8],
fHlN,bFtSvJv_Gg4,[3],
PilN,bJArkx2InN4,"[0, 1, 36, 153]","[{'text': ""let's go what's the whiting show 111"", 'start': 1.159, 'duration': 14.131}, {'text': 'quite a show Yui show show', 'start': 6.299, 'duration': 8.991}, {'text': 'dori of home fries basically Korea', 'start': 22.89, 'duration': 5.17}, {'text': ""taking over America and it's actually"", 'start': 25.81, 'duration': 5.07}, {'text': 'done in a pretty good and believable way', 'start': 28.06, 'duration': 4.199}, {'text': ""and that's some bullshit where they just"", 'start': 30.88, 'duration': 3.12}, {'text': ""invade us and somehow we don't have any"", 'start': 32.259, 'duration': 4.501}, {'text': ""army to fight back I won't spoil it for"", 'start': 34.0, 'duration': 5.04}, {'text': 'you but basically I come over taking us', 'start': 36.76, 'duration': 3.96}, {'text': 'over beating the shit out of us and', 'start': 39.04, 'duration': 5.31}, {'text': ""we're basically a rebel small rebel army"", 'start': 40.72, 'duration': 5.6}, {'text': 'going against them and slowly', 'start': 44.35, 'duration': 4.22}, {'text': 'diminishing their forces and somehow', 'start': 46.32, 'duration': 5.4}, {'text': 'counteracting their invasion so overall', 'start': 48.57, 'duration': 5.35}, {'text': 'the story is actually pretty interesting', 'start': 51.72, 'duration': 4.24}, {'text': ""idea works and that's because the voice"", 'start': 53.92, 'duration': 3.75}, {'text': 'acting for the most part is pretty good', 'start': 55.96, 'duration': 3.689}, {'text': 'unbelievable so it makes the story', 'start': 57.67, 'duration': 4.17}, {'text': 'interesting and at the same time it also', 'start': 59.649, 'duration': 5.281}, {'text': 'has very good characters saying all that', 'start': 61.84, 'duration': 5.43}, {'text': ""good thing there's some really weak"", 'start': 64.93, 'duration': 3.87}, {'text': 'dialogue in the game and makes you', 'start': 67.27, 'duration': 4.05}, {'text': 'question the fuck wrote this script', 'start': 68.8, 'duration': 5.16}, {'text': 'sometimes like it goes from good to', 'start': 71.32, 'duration': 6.329}, {'text': 'great moments too why did that character', 'start': 73.96, 'duration': 5.73}, {'text': 'scream that or say that and then the', 'start': 77.649, 'duration': 4.381}, {'text': 'ending is just absolutely terrible in my', 'start': 79.69, 'duration': 4.41}, {'text': 'opinion I know it leaves it off and it', 'start': 82.03, 'duration': 3.75}, {'text': 'could be a cliffhanger or downloadable', 'start': 84.1, 'duration': 3.629}, {'text': 'content but overall the ending ish is', 'start': 85.78, 'duration': 3.51}, {'text': 'very disappointing compared to the rest', 'start': 87.729, 'duration': 4.471}, {'text': 'of the story for the game hey hey help', 'start': 89.29, 'duration': 4.98}, {'text': ""me out here we're fighting the same war"", 'start': 92.2, 'duration': 3.87}, {'text': ""now you know I'll tell you what I'll"", 'start': 94.27, 'duration': 4.41}, {'text': ""take the bitch I'm Scarface hiding over"", 'start': 96.07, 'duration': 4.589}, {'text': 'there you can walk away without a', 'start': 98.68, 'duration': 3.93}, {'text': ""bulletin I think you're getting the bad"", 'start': 100.659, 'duration': 4.761}, {'text': 'end of that dear', 'start': 102.61, 'duration': 2.81}, {'text': 'for the most part the graphics are', 'start': 116.98, 'duration': 4.51}, {'text': ""basically a mixed bag at points there's"", 'start': 119.09, 'duration': 3.99}, {'text': 'the set pieces that show off the', 'start': 121.49, 'duration': 3.21}, {'text': 'graphics and sometimes the graphics look', 'start': 123.08, 'duration': 4.23}, {'text': 'absolutely awesome like explosion in the', 'start': 124.7, 'duration': 4.74}, {'text': 'sky buildings falling cars flipping over', 'start': 127.31, 'duration': 5.15}, {'text': 'it looks great', 'start': 129.44, 'duration': 3.02}, {'text': 'okay and there really is some great', 'start': 146.44, 'duration': 4.12}, {'text': 'animations from the enemy rolling', 'start': 148.79, 'duration': 4.05}, {'text': 'dodging bullets and all that stuff at', 'start': 150.56, 'duration': 4.59}, {'text': 'the same time the character models', 'start': 152.84, 'duration': 3.78}, {'text': 'definitely can use some work and', 'start': 155.15, 'duration': 3.96}, {'text': 'definitely the textures can use an', 'start': 156.62, 'duration': 5.67}, {'text': 'upgrade of 2011 and not two thousand six', 'start': 159.11, 'duration': 6.36}, {'text': 'or seven or maybe 2008 about 2000 e at', 'start': 162.29, 'duration': 4.71}, {'text': 'the same time you also got these bugs', 'start': 165.47, 'duration': 3.3}, {'text': 'that make the characters like a little', 'start': 167.0, 'duration': 3.45}, {'text': 'silly like getting stuck on the wall and', 'start': 168.77, 'duration': 3.36}, {'text': 'going back and forth and stuff like that', 'start': 170.45, 'duration': 3.72}, {'text': ""makes it look stupid but that's just a"", 'start': 172.13, 'duration': 4.17}, {'text': 'little low budget on the side overall', 'start': 174.17, 'duration': 3.81}, {'text': 'the graphics are pretty good but', 'start': 176.3, 'duration': 3.15}, {'text': 'definitely can use an upgrade and', 'start': 177.98, 'duration': 5.03}, {'text': ""they're definitely not triple-a status"", 'start': 179.45, 'duration': 3.56}, {'text': 'the gameplay is very standard you', 'start': 193.5, 'duration': 5.37}, {'text': 'basically get a gun you aim issue people', 'start': 195.879, 'duration': 5.401}, {'text': ""not much to go I mean there's some cool"", 'start': 198.87, 'duration': 4.479}, {'text': 'stuff like getting to use Goliath was', 'start': 201.28, 'duration': 4.769}, {'text': 'basically you get the control where this', 'start': 203.349, 'duration': 5.67}, {'text': 'huge machine creature can shoot missiles', 'start': 206.049, 'duration': 5.91}, {'text': 'and annihilate anything that you target', 'start': 209.019, 'duration': 4.47}, {'text': 'which is a cool feature and everything', 'start': 211.959, 'duration': 3.211}, {'text': 'but the majority of the game is', 'start': 213.489, 'duration': 3.72}, {'text': 'basically standard shoot what a machine', 'start': 215.17, 'duration': 4.05}, {'text': 'guns shoot with a sniper pistol shotgun', 'start': 217.209, 'duration': 4.56}, {'text': ""saw on you yet it's very regular and to"", 'start': 219.22, 'duration': 4.26}, {'text': 'be honest the aiming and everything and', 'start': 221.769, 'duration': 3.39}, {'text': ""the weapons all feel good and that's"", 'start': 223.48, 'duration': 3.72}, {'text': 'definitely a positive when it comes to a', 'start': 225.159, 'duration': 4.8}, {'text': 'lower budget shooter and I think the set', 'start': 227.2, 'duration': 4.83}, {'text': 'pieces are some of the best around', 'start': 229.959, 'duration': 5.31}, {'text': 'especially chapter 3 and sum of two', 'start': 232.03, 'duration': 5.129}, {'text': 'definitely did a great job with the set', 'start': 235.269, 'duration': 3.511}, {'text': 'pieces they start to lose at the end but', 'start': 237.159, 'duration': 2.91}, {'text': ""overall there's some really cool set"", 'start': 238.78, 'duration': 2.819}, {'text': ""pieces that definitely i'm going to give"", 'start': 240.069, 'duration': 4.051}, {'text': 'credit for at the same time not that', 'start': 241.599, 'duration': 4.5}, {'text': 'feels really special about the game and', 'start': 244.12, 'duration': 4.83}, {'text': ""it feels just generic shooter it's it's"", 'start': 246.099, 'duration': 4.2}, {'text': ""done well enough where it doesn't"", 'start': 248.95, 'duration': 3.84}, {'text': 'frustrate you at the same time it just', 'start': 250.299, 'duration': 5.101}, {'text': ""doesn't try anything new and it would be"", 'start': 252.79, 'duration': 4.86}, {'text': 'unfair to me to say that it does when', 'start': 255.4, 'duration': 3.42}, {'text': ""these other shooters that I've been"", 'start': 257.65, 'duration': 3.51}, {'text': 'giving scores are just being a good game', 'start': 258.82, 'duration': 4.77}, {'text': 'or sometimes great same thing here it', 'start': 261.16, 'duration': 4.229}, {'text': 'has some really cool moments and it does', 'start': 263.59, 'duration': 3.449}, {'text': ""work fine but again it's generic"", 'start': 265.389, 'duration': 3.75}, {'text': ""shooting they really didn't do much and"", 'start': 267.039, 'duration': 4.471}, {'text': 'I feel that the guns are basically hit', 'start': 269.139, 'duration': 3.721}, {'text': ""and miss there's some really cool guns"", 'start': 271.51, 'duration': 3.18}, {'text': ""then there's some shit guns that you"", 'start': 272.86, 'duration': 3.239}, {'text': ""really don't understand why they created"", 'start': 274.69, 'duration': 4.68}, {'text': ""and put into this game so roll it's a"", 'start': 276.099, 'duration': 5.581}, {'text': 'standard shooter and it could be fun but', 'start': 279.37, 'duration': 4.35}, {'text': ""again for anybody who's played shooters"", 'start': 281.68, 'duration': 3.81}, {'text': ""and they're tired of it this shooters"", 'start': 283.72, 'duration': 4.729}, {'text': 'not going to change your mind', 'start': 285.49, 'duration': 2.959}, {'text': ""so it's pretty obvious with this review"", 'start': 301.959, 'duration': 4.36}, {'text': ""that you're getting the idea that it is"", 'start': 304.639, 'duration': 3.84}, {'text': 'a fun and exciting single player as far', 'start': 306.319, 'duration': 3.84}, {'text': ""as the story goes and there's some"", 'start': 308.479, 'duration': 3.39}, {'text': 'really cool set pieces and the graphics', 'start': 310.159, 'duration': 3.9}, {'text': 'sometimes can be really good and with', 'start': 311.869, 'duration': 3.6}, {'text': 'that I actually really did enjoy', 'start': 314.059, 'duration': 3.57}, {'text': 'Homefront and even the multiplayer is', 'start': 315.469, 'duration': 3.99}, {'text': ""decent it's not bad it would make you"", 'start': 317.629, 'duration': 3.09}, {'text': 'come back you know they got the home', 'start': 319.459, 'duration': 2.91}, {'text': 'rank up system from Halo and Call of', 'start': 320.719, 'duration': 3.9}, {'text': 'Duty so you definitely have that to have', 'start': 322.369, 'duration': 4.26}, {'text': 'fun with on multiplayer on the flip side', 'start': 324.619, 'duration': 4.11}, {'text': 'it is a generic shooter like I stayed', 'start': 326.629, 'duration': 3.78}, {'text': ""before and it won't change your mind to"", 'start': 328.729, 'duration': 2.821}, {'text': ""make sure there's the greatest thing"", 'start': 330.409, 'duration': 3.48}, {'text': 'ever and the campaign is literally about', 'start': 331.55, 'duration': 3.959}, {'text': ""three to four hours and that's really"", 'start': 333.889, 'duration': 2.941}, {'text': ""bad if you're just playing the"", 'start': 335.509, 'duration': 2.64}, {'text': 'single-player this game is definitely', 'start': 336.83, 'duration': 3.539}, {'text': 'more of a rent type game but if you want', 'start': 338.149, 'duration': 3.961}, {'text': 'to enjoy an interesting story and', 'start': 340.369, 'duration': 4.2}, {'text': 'definitely some cool set pieces try the', 'start': 342.11, 'duration': 4.829}, {'text': 'game out if you like the online hell you', 'start': 344.569, 'duration': 4.35}, {'text': 'might even buy the game and enjoy it but', 'start': 346.939, 'duration': 3.51}, {'text': ""anybody who's not really in the shooters"", 'start': 348.919, 'duration': 2.79}, {'text': ""you're probably just going to pass on"", 'start': 350.449, 'duration': 3.03}, {'text': ""this game it doesn't do anything too"", 'start': 351.709, 'duration': 3.72}, {'text': ""special and it's definitely just another"", 'start': 353.479, 'duration': 5.131}, {'text': 'good shooter with some great moments but', 'start': 355.429, 'duration': 6.92}, {'text': ""just doesn't live up to its potential"", 'start': 358.61, 'duration': 3.739}, {'text': 'you', 'start': 364.09, 'duration': 2.06}]"
o3lN,bSaI0mk3G28,[8],
v1lN,bTY3X1_ba_Y,[0],
D4lN,01EJBOtOZyM,"[2, 62, 75, 208, 1453]",
D7lN,tEVMm1y1Utw,"[2, 7, 17, 48, 128]",
0ClN,oU-6kzV-yLc,"[3, 4, 6]",
hUlN,oUnMMmDoBFw,"[2, 7, 1124]",
bBlN,nlaFgcBL7C0,"[0, 1, 153, 1232]",
aSlN,LrxcDU0i39s,"[5, 3341]",
6vlN,LuS0tyACHMI,"[0, 1761]",
1tlN,LxF09A3V-3U,"[574, 596]",
tPlN,ZW4tzrzanuk,"[179, 667, 1009]",
rclN,C10LsXVgstA,"[11, 20, 22, 29, 32, 122]",
i5lN,4l7SsOj9HnE,"[2, 7, 982, 1926]","[{'text': 'all right so yesterday maybe my friend', 'start': 0.26, 'duration': 6.82}, {'text': ""won't trash picking and we found these"", 'start': 3.689, 'duration': 6.061}, {'text': 'two engines here got a chainsaw here', 'start': 7.08, 'duration': 4.139}, {'text': ""this is a really old room I think it's"", 'start': 9.75, 'duration': 4.219}, {'text': ""from the 70s it's a McCulloch 7-10"", 'start': 11.219, 'duration': 6.531}, {'text': ""automatic chainsaw that's pretty old"", 'start': 13.969, 'duration': 7.271}, {'text': 'pretty dirty but says these are both', 'start': 17.75, 'duration': 4.9}, {'text': 'understand each pile like scrap metal', 'start': 21.24, 'duration': 3.09}, {'text': ""and stuff on this guy was thrown out I'm"", 'start': 22.65, 'duration': 2.01}, {'text': 'just', 'start': 24.33, 'duration': 1.709}, {'text': ""we found the chainsaw but we couldn't"", 'start': 24.66, 'duration': 2.789}, {'text': 'find the recoil service we just dug', 'start': 26.039, 'duration': 3.211}, {'text': 'through it and finally found it so I put', 'start': 27.449, 'duration': 3.721}, {'text': ""that iron and it's kind of screwed up a"", 'start': 29.25, 'duration': 3.6}, {'text': 'little bit here but it all works', 'start': 31.17, 'duration': 3.42}, {'text': 'everything both of them run which is', 'start': 32.85, 'duration': 3.51}, {'text': 'pretty awesome', 'start': 34.59, 'duration': 4.02}, {'text': ""you didn't have to do any repair damage"", 'start': 36.36, 'duration': 3.6}, {'text': 'through some gas and it that one is', 'start': 38.61, 'duration': 4.5}, {'text': 'smoking like crazy so I want on that one', 'start': 39.96, 'duration': 5.52}, {'text': 'too long and the car was a tune too but', 'start': 43.11, 'duration': 4.32}, {'text': 'this one works like charm other than the', 'start': 45.48, 'duration': 4.739}, {'text': 'fact that the Idol is screwed up because', 'start': 47.43, 'duration': 6.42}, {'text': 'of Ione if I take this whole straddle', 'start': 50.219, 'duration': 6.18}, {'text': 'still idle the Idol adjustments you ever', 'start': 53.85, 'duration': 3.99}, {'text': 'take the whole strap they would still I', 'start': 56.399, 'duration': 3.75}, {'text': ""also that's weird but uh and they're"", 'start': 57.84, 'duration': 5.51}, {'text': ""just missing some rope between that's a"", 'start': 60.149, 'duration': 6.571}, {'text': ""shot right these aren't necessary cold"", 'start': 63.35, 'duration': 8.79}, {'text': 'starts but maybe you run pretty good', 'start': 66.72, 'duration': 5.42}, {'text': ""yes that's that ends right there and"", 'start': 91.44, 'duration': 5.98}, {'text': 'then was more she was even a better fine', 'start': 94.09, 'duration': 5.07}, {'text': 'was this one I hear the chainsaw I', 'start': 97.42, 'duration': 3.78}, {'text': 'really know anything about this motor', 'start': 99.16, 'duration': 5.16}, {'text': 'because how old it is and stuff but it', 'start': 101.2, 'duration': 6.27}, {'text': 'looks like the person here put bar on', 'start': 104.32, 'duration': 6.51}, {'text': ""wrong or something like that but it's"", 'start': 107.47, 'duration': 7.49}, {'text': ""not exact and then I'll share here"", 'start': 110.83, 'duration': 4.13}, {'text': ""but um yeah and this isn't functioning"", 'start': 156.56, 'duration': 7.09}, {'text': 'right the whole bar mechanism the chain', 'start': 161.22, 'duration': 4.92}, {'text': 'but I think lucious stuck to but', 'start': 163.65, 'duration': 4.94}, {'text': 'whatever', 'start': 166.14, 'duration': 2.45}]"
CslN,4p80c8aDjr0,"[11, 368, 453]","[{'text': ""strained carrot that's already but"", 'start': 1.879, 'duration': 8.831}, {'text': 'orange smoke I give her a little dab to', 'start': 5.58, 'duration': 7.86}, {'text': 'close first is gonna be our first first', 'start': 10.71, 'duration': 8.1}, {'text': 'ever nothing all right okay here', 'start': 13.44, 'duration': 12.45}, {'text': 'oh hey and the fun begins', 'start': 18.81, 'duration': 11.93}, {'text': 'oh yeah right okay you okay', 'start': 25.89, 'duration': 4.85}, {'text': 'well they say', 'start': 37.609, 'duration': 3.5}, {'text': ""let's hug me and I like it or I don't"", 'start': 47.73, 'duration': 3.03}, {'text': 'like it', 'start': 49.93, 'duration': 4.05}, {'text': ""Thanks what's with the foot this is 4x"", 'start': 50.76, 'duration': 11.5}, {'text': 'yeah I like it I like it I like it and', 'start': 53.98, 'duration': 10.2}, {'text': 'this is why mommy wanted her to be able', 'start': 62.26, 'duration': 5.94}, {'text': 'to sit on her own because she is filthy', 'start': 64.18, 'duration': 6.92}, {'text': 'after two spoonfuls well do you think', 'start': 68.2, 'duration': 6.089}, {'text': ""you swallowed somebody's already kind of"", 'start': 71.1, 'duration': 5.579}, {'text': 'learning', 'start': 74.289, 'duration': 2.39}, {'text': ""Wow look at you big girl good job you're"", 'start': 83.28, 'duration': 14.12}, {'text': 'adorable though that that is not to eat', 'start': 94.229, 'duration': 5.491}, {'text': ""anything that that's just clean those"", 'start': 97.4, 'duration': 6.46}, {'text': 'hands off bein on it mmm', 'start': 99.72, 'duration': 8.86}, {'text': 'wait ah well is she eating at her Z well', 'start': 103.86, 'duration': 7.06}, {'text': ""part of its going in prep it's going"", 'start': 108.58, 'duration': 3.33}, {'text': 'everywhere else', 'start': 110.92, 'duration': 3.21}, {'text': ""I mean okay hang on open up no that's a"", 'start': 111.91, 'duration': 3.39}, {'text': 'little point of this this is just a', 'start': 114.13, 'duration': 1.86}, {'text': 'short', 'start': 115.3, 'duration': 3.39}, {'text': 'oh look so that big ones a lot of it', 'start': 115.99, 'duration': 6.45}, {'text': ""went in like that spit it back up I'm"", 'start': 118.69, 'duration': 10.26}, {'text': ""swallowing it's more watch this is a few"", 'start': 122.44, 'duration': 11.01}, {'text': ""bitty no instead but a tablespoon that's"", 'start': 128.95, 'duration': 7.82}, {'text': 'what that is I want to try want to try', 'start': 133.45, 'duration': 8.759}, {'text': ""can I go this boom you know what she's"", 'start': 136.77, 'duration': 8.16}, {'text': 'doing like geeks to try to suck it off', 'start': 142.209, 'duration': 4.861}, {'text': ""maybe it's too much for her to get into"", 'start': 144.93, 'duration': 2.79}, {'text': 'thirds', 'start': 147.07, 'duration': 3.36}, {'text': ""maybe she's just silly don't wipe her"", 'start': 147.72, 'duration': 3.76}, {'text': 'mouth I need to take a picture of that', 'start': 150.43, 'duration': 3.32}, {'text': 'face', 'start': 151.48, 'duration': 2.27}, {'text': 'are you happy daddy you finally get your', 'start': 157.4, 'duration': 5.26}, {'text': 'baby hi', 'start': 159.93, 'duration': 8.58}, {'text': 'you owe me good some work mommy feed', 'start': 162.66, 'duration': 10.31}, {'text': 'yourself yeah', 'start': 168.51, 'duration': 4.46}, {'text': ""mmm look at you you're an expert you're"", 'start': 176.79, 'duration': 5.99}, {'text': 'an expert', 'start': 180.989, 'duration': 4.92}, {'text': 'yeah like carrots no problem with', 'start': 182.78, 'duration': 6.849}, {'text': ""carrots so far that's good I feel like"", 'start': 185.909, 'duration': 6.231}, {'text': ""I'm the dog sit sit"", 'start': 189.629, 'duration': 8.7}, {'text': ""and she did good job yeah this isn't one"", 'start': 192.14, 'duration': 10.9}, {'text': 'right you are an expert all right young', 'start': 198.329, 'duration': 8.61}, {'text': 'lady look at you go blue eyes like this', 'start': 203.04, 'duration': 8.0}, {'text': 'look at you pills for', 'start': 206.939, 'duration': 4.101}, {'text': ""full of carrot it's a good thing we're"", 'start': 215.68, 'duration': 7.059}, {'text': 'getting you a bathtub the dog wants some', 'start': 220.939, 'duration': 3.261}, {'text': 'mixed', 'start': 222.739, 'duration': 5.481}, {'text': 'yeah bathtubs gonna help now', 'start': 224.2, 'duration': 4.02}, {'text': ""that's why it's in a crates of orange in"", 'start': 234.76, 'duration': 7.85}, {'text': ""the diaper isn't it and maybe some stink"", 'start': 237.64, 'duration': 13.98}, {'text': ""mm-hmm thank come on I'm covered I can"", 'start': 242.61, 'duration': 12.959}, {'text': 'only go so fast we took months for this', 'start': 251.62, 'duration': 3.949}, {'text': ""too much money you get too much it's"", 'start': 260.609, 'duration': 4.901}, {'text': ""just a backup like that it means there's"", 'start': 263.08, 'duration': 3.38}, {'text': 'too much in her mouth', 'start': 265.51, 'duration': 4.65}, {'text': ""let me give me too much that's all right"", 'start': 266.46, 'duration': 8.25}, {'text': ""we'll just pick it up and reuse it hey"", 'start': 270.16, 'duration': 9.69}, {'text': 'what do you think if I mess it makes a', 'start': 274.71, 'duration': 7.89}, {'text': ""that's more"", 'start': 279.85, 'duration': 2.75}, {'text': ""good job seller very I'm very impressed"", 'start': 284.82, 'duration': 5.48}, {'text': 'baby', 'start': 287.85, 'duration': 2.45}]"
eblN,X2-1Y_AaLL4,"[0, 1, 938]","[{'text': 'hey guys this is trevor forever 595 and', 'start': 9.62, 'duration': 6.61}, {'text': ""today i'm going to show you how to hack"", 'start': 13.679, 'duration': 3.93}, {'text': 'the game mini tower defense on', 'start': 16.23, 'duration': 4.32}, {'text': 'kongregate games and before we get', 'start': 17.609, 'duration': 4.981}, {'text': 'started I would love to give credit to', 'start': 20.55, 'duration': 5.96}, {'text': 'my best friend power Fox 1995 for', 'start': 22.59, 'duration': 7.259}, {'text': 'telling me how to do this hack so click', 'start': 26.51, 'duration': 5.14}, {'text': 'this annotation and to go see his', 'start': 29.849, 'duration': 3.151}, {'text': 'channel he has some pretty awesome', 'start': 31.65, 'duration': 6.03}, {'text': ""videos so let's get started I'm going to"", 'start': 33.0, 'duration': 6.66}, {'text': ""click new game I'm going to show you how"", 'start': 37.68, 'duration': 4.98}, {'text': 'to hack upgrade points in a bit so stay', 'start': 39.66, 'duration': 5.669}, {'text': ""tuned I'm first I'm going to show you"", 'start': 42.66, 'duration': 5.879}, {'text': 'how to hack money and then live so but', 'start': 45.329, 'duration': 5.131}, {'text': ""first let's select our process which"", 'start': 48.539, 'duration': 6.531}, {'text': ""should be firefox let's see fireworks"", 'start': 50.46, 'duration': 4.61}, {'text': 'where are you firefox here we are', 'start': 55.309, 'duration': 6.701}, {'text': 'firefox and this is a really tricky hack', 'start': 57.899, 'duration': 6.51}, {'text': ""probably the trickiest I've heard seen"", 'start': 62.01, 'duration': 6.09}, {'text': 'or done so far so what you have to do it', 'start': 64.409, 'duration': 7.801}, {'text': 'simply is my calculator is take the', 'start': 68.1, 'duration': 7.379}, {'text': 'number value whatever x 8 and then add 6', 'start': 72.21, 'duration': 6.0}, {'text': 'to it so since see I have 300 money here', 'start': 75.479, 'duration': 6.691}, {'text': 'and would type in 300 x 8 and then add 6', 'start': 78.21, 'duration': 7.44}, {'text': ""to it 2406 so I'm going to bring over"", 'start': 82.17, 'duration': 6.42}, {'text': ""teen isn't here and type into 2406 and"", 'start': 85.65, 'duration': 6.539}, {'text': ""hit first scan okay I've got some"", 'start': 88.59, 'duration': 7.02}, {'text': ""results so I'm going to buy a tower so"", 'start': 92.189, 'duration': 5.25}, {'text': ""now i have 200 so i'm going to go back"", 'start': 95.61, 'duration': 7.829}, {'text': 'my calculator 200 times 8 + 6 1606 so i', 'start': 97.439, 'duration': 10.32}, {'text': 'will type in 1606 and use as you see one', 'start': 103.439, 'duration': 6.72}, {'text': 'result double click it check the frozen', 'start': 107.759, 'duration': 5.101}, {'text': ""box i'm going to change the oh and when"", 'start': 110.159, 'duration': 4.111}, {'text': ""you change the value make sure it's"", 'start': 112.86, 'duration': 3.299}, {'text': 'divisible by 8 and then just add a six', 'start': 114.27, 'duration': 4.02}, {'text': 'to the end so so like put like 80,000', 'start': 116.159, 'duration': 6.21}, {'text': 'and then put a six simply so if not if', 'start': 118.29, 'duration': 5.55}, {'text': ""you don't do that it'll crash game so"", 'start': 122.369, 'duration': 3.921}, {'text': 'just change it to that', 'start': 123.84, 'duration': 4.88}, {'text': 'and once you buy another Tower or', 'start': 126.29, 'duration': 5.34}, {'text': 'upgrade to one or whatever it goes up to', 'start': 128.72, 'duration': 6.65}, {'text': 'wherever you changed it to hey so um', 'start': 131.63, 'duration': 8.28}, {'text': ""that's how you do money and for lives"", 'start': 135.37, 'duration': 8.44}, {'text': ""it's the same process so 10 times 8 80"", 'start': 139.91, 'duration': 7.32}, {'text': ""plus 686 so I'm going to hit new skin"", 'start': 143.81, 'duration': 8.37}, {'text': ""type in 86 here and then I'm gonna start"", 'start': 147.23, 'duration': 8.18}, {'text': 'the first wave delete my towers here', 'start': 152.18, 'duration': 8.7}, {'text': ""speed it up and you'll and i'll come"", 'start': 155.41, 'duration': 12.79}, {'text': ""back doing a set ok I'm back and as you"", 'start': 160.88, 'duration': 9.57}, {'text': ""see I have eight lies I lost two so I'm"", 'start': 168.2, 'duration': 7.14}, {'text': 'going to do 8 times 8 plus 6 70 some', 'start': 170.45, 'duration': 7.11}, {'text': 'type in 70 here and as you see one', 'start': 175.34, 'duration': 5.34}, {'text': ""result like last time I'm going to bring"", 'start': 177.56, 'duration': 4.77}, {'text': 'it down here a little bit check the', 'start': 180.68, 'duration': 4.47}, {'text': 'frozen box and you can change the value', 'start': 182.33, 'duration': 4.86}, {'text': ""but it won't matter because the value"", 'start': 185.15, 'duration': 4.92}, {'text': ""won't change it'll just stay at 10 but"", 'start': 187.19, 'duration': 5.48}, {'text': ""so you won't like lose any live so and"", 'start': 190.07, 'duration': 5.669}, {'text': ""as you say it's stayed at 10 or 1"", 'start': 192.67, 'duration': 5.89}, {'text': ""backups 10 and will stay at it so that's"", 'start': 195.739, 'duration': 8.071}, {'text': ""how you hack lives and money so next I'm"", 'start': 198.56, 'duration': 7.08}, {'text': 'going to show you how to hack the', 'start': 203.81, 'duration': 5.13}, {'text': 'upgrade points so finish this first', 'start': 205.64, 'duration': 6.83}, {'text': 'level here real quick', 'start': 208.94, 'duration': 3.53}, {'text': 'ok finished the first level ok since I', 'start': 215.95, 'duration': 7.12}, {'text': 'have 14 same process like last time so', 'start': 219.68, 'duration': 9.0}, {'text': ""I'm going to do 14 x 8 + 6 118 so I'm"", 'start': 223.07, 'duration': 8.49}, {'text': 'going to new scan again do a hundred and', 'start': 228.68, 'duration': 5.82}, {'text': ""eighteen ok got a bunch results so I'm"", 'start': 231.56, 'duration': 6.18}, {'text': 'going to use one I have nine now so nine', 'start': 234.5, 'duration': 10.8}, {'text': 'times eight plus 6 78 78 since ok now', 'start': 237.74, 'duration': 9.54}, {'text': ""I've wondered one result left so I'm"", 'start': 245.3, 'duration': 5.79}, {'text': 'gonna check it check the frozen box', 'start': 247.28, 'duration': 6.56}, {'text': 'again change the value like last time', 'start': 251.09, 'duration': 8.36}, {'text': ""and hit OK and right away it doesn't"", 'start': 253.84, 'duration': 10.87}, {'text': 'change but what I found to do is refresh', 'start': 259.45, 'duration': 10.78}, {'text': 'the page and um continue your game so', 'start': 264.71, 'duration': 12.6}, {'text': ""I'm going to do that real quick ok so"", 'start': 270.23, 'duration': 11.87}, {'text': 'come back into the game here like I did', 'start': 277.31, 'duration': 4.79}, {'text': 'try and hit play and continue and as you', 'start': 282.34, 'duration': 5.56}, {'text': ""see and that they're all of our upgrade"", 'start': 285.919, 'duration': 5.041}, {'text': 'points are there so you can buy all of', 'start': 287.9, 'duration': 8.25}, {'text': ""the upgrades so there we go that's how"", 'start': 290.96, 'duration': 8.1}, {'text': 'you hack um mini tower defense on', 'start': 296.15, 'duration': 5.579}, {'text': 'kongregate games thanks for watching and', 'start': 299.06, 'duration': 5.419}, {'text': 'please rate comment and subscribe and', 'start': 301.729, 'duration': 6.151}, {'text': 'thanks again to power Fox 1995 for', 'start': 304.479, 'duration': 6.131}, {'text': 'showing us how to do this hack catch you', 'start': 307.88, 'duration': 5.3}, {'text': 'next time bye', 'start': 310.61, 'duration': 2.57}, {'text': 'Shh', 'start': 315.89, 'duration': 3.0}]"
8wlN,9u3IMpwg7vE,"[17, 19, 129, 1590]",
vclN,xjwdMbv5GMM,[21],
